Type,company,Matching,dealCreateDate,meetingDate
Control,TECHWARE CORPORATION (AUSTRALIA) PTY LTD,TECHWARE CORPORATION (AUSTRALIA) PTY LTD,,
Control,JH COMPUTER SERVICES WA PTY LTD,JH COMPUTER SERVICES WA PTY LTD,,
Control,Levitar Pty Ltd,Levitar Pty Ltd,,
Control,Quant Sec Pty Ltd,Quant Sec Pty Ltd,,
Control,Alphawest Services Pty Ltd,Alphawest Services Pty Ltd,,
Control,CLEAR CORPORATE TECHNOLOGY PTY LTD T/A CSW IT,CLEAR CORPORATE TECHNOLOGY PTY LTD T/A CSW IT,,
Control,FOIT Group Pty Ltd,FOIT Group Pty Ltd,,
Control,Veem Ltd,Veem Ltd,,
Control,RTV Computers Pty Ltd,RTV Computers Pty Ltd,,
Control,UGL Pty Limited,UGL Pty Limited,,
Control,XENON Systems Pty Ltd,XENON Systems Pty Ltd,,
Control,Simple Biz,Simple Biz,,
Control,Over the Wire Pty Ltd,Over the Wire Pty Ltd,,
Control,DCA Networks,DCA Networks,,
Control,Transaction Network Services NZ Limited (NZ),Transaction Network Services NZ Limited (NZ),,
Control,China Unicom (Australia) Operations Pty Ltd,China Unicom (Australia) Operations Pty Ltd,,
Control,SYNDETICOM PTY LTD,SYNDETICOM PTY LTD,,
Control,Torque IT Pty Ltd ATF Torque IT Unit Trust t,Torque IT Pty Ltd ATF Torque IT Unit Trust t,,
Control,NetCraft Australia Pty Ltd,NetCraft Australia Pty Ltd,,
Control,The Trustee for Qamba IT Unit Trust,The Trustee for Qamba IT Unit Trust,,
Control,ICT Group (Aust) Pty Ltd,ICT Group (Aust) Pty Ltd,,
Control,LEASEWEB AUSTRALIA PTY LIMITED,LEASEWEB AUSTRALIA PTY LIMITED,,
Control,INDE TECHNOLOGY AUSTRALIA PTY LTD,INDE TECHNOLOGY AUSTRALIA PTY LTD,,
Control,MRFM Pty. Ltd.,MRFM Pty. Ltd.,,
Control,ICT Networks Pty Ltd,ICT Networks Pty Ltd,,
Control,Kantanna Pty Ltd,Kantanna Pty Ltd,,
Control,Secure Internet Storage Solutions,Secure Internet Storage Solutions,,
Control,WEVO NETWORKS PTY LTD,WEVO NETWORKS PTY LTD,,
Control,DPM IT Solutions,DPM IT Solutions,,
Control,S&R Technologies,S&R Technologies,,
Control,Gateway Business Communications Pty Ltd,Gateway Business Communications Pty Ltd,,
Control,OC LINK GROUP,OC LINK GROUP,,
Control,CommuniCloud,CommuniCloud,,
Control,BlueBox IT,BlueBox IT,,
Control,MSA Technology Pty Ltd trading as Insight IT,MSA Technology Pty Ltd trading as Insight IT,,
Control,AUSSIE BROADBAND LIMITED,AUSSIE BROADBAND LIMITED,,
Control,Binary Logic,Binary Logic,,
Control,Conetix Pty Ltd,Conetix Pty Ltd,,
Control,JSB TECHNOLOGY PTY LTD,JSB TECHNOLOGY PTY LTD,,
Control,NetStrategy Pty Ltd,NetStrategy Pty Ltd,,
Control,Fox Systems Pty Ltd,Fox Systems Pty Ltd,,
Control,Insight Enterprises Australia Pty Ltd,Insight Enterprises Australia Pty Ltd,,
Control,TW Cyber Security Pty Ltd,TW Cyber Security Pty Ltd,,
Control,In Cloud Services Pty Ltd,In Cloud Services Pty Ltd,,
Control,Blutone Technologies Pty Ltd,Blutone Technologies Pty Ltd,,
Control,FASTRACK TECHNOLOGY PTY LTD,FASTRACK TECHNOLOGY PTY LTD,,
Control,Outcomex Pty Ltd,Outcomex Pty Ltd,,
Control,Pro IT Pty Ltd,Pro IT Pty Ltd,,
Control,Empire Technologies Pty Ltd,Empire Technologies Pty Ltd,,
Control,Accsys IT Pty Ltd,Accsys IT Pty Ltd,,
Control,The Somerville Group Pty Ltd - T/as Atturra Managed Services,The Somerville Group Pty Ltd - T/as Atturra Managed Services,,
Control,DIMIYA TECH PTY LTD,DIMIYA TECH PTY LTD,,
Control,AMPITO PTY LTD,AMPITO PTY LTD,,
Control,Excite Cyber,Excite Cyber,,
Control,TRITECH PLUS PTY LTD,TRITECH PLUS PTY LTD,,
Control,The Best Generation PTY LTD,The Best Generation PTY LTD,,
Control,Exclusive Networks Singapore Pte Ltd,Exclusive Networks Singapore Pte Ltd,,
Control,Zanotech Pty Ltd,Zanotech Pty Ltd,,
Control,Exclusive Networks SAS,Exclusive Networks SAS,,
Control,Hyper IT,Hyper IT,,
Control,Starboard IT,Starboard IT,,
Control,Tech Mahindra Ltd,Tech Mahindra Ltd,,
Control,Amaze Intelligence Pty Ltd,Amaze Intelligence Pty Ltd,,
Control,Multiline Pty Ltd,Multiline Pty Ltd,,
Control,11: 11 Systems Australia,11: 11 Systems Australia,,
Control,Baidam Solutions Pty Ltd,Baidam Solutions Pty Ltd,,
Control,Affinity Blue Pty Ltd,Affinity Blue Pty Ltd,,
Control,LevelUP Solutions Pty Ltd,LevelUP Solutions Pty Ltd,,
Others,Fyshh Pty Ltd,Fyshh Pty Ltd,,
Others,TRISKELE LABS GLOBAL PTY LTD,TRISKELE LABS GLOBAL PTY LTD,,
Others,Wigtown Bear Pty Ltd T/A Subnet,Wigtown Bear Pty Ltd T/A Subnet,,
Others,ACUMENIS PTY LTD,ACUMENIS PTY LTD,,
Others,Airloom Holdings Pty Ltd,Airloom Holdings Pty Ltd,,
Others,Asta Solutions Pty Ltd,Asta Solutions Pty Ltd,,
Others,Burgess Systems Consulting Pty Ltd,Burgess Systems Consulting Pty Ltd,,
Others,Civica Pty Ltd,Civica Pty Ltd,,
Others,DXC Red Rock Pty Ltd,DXC Red Rock Pty Ltd,,
Others,FALCORE INVESTMENTS PTY LTD,FALCORE INVESTMENTS PTY LTD,,
Others,Field Solutions Group Pty Ltd,Field Solutions Group Pty Ltd,,
Others,IDENTIFLY PTY LTD,IDENTIFLY PTY LTD,,
Others,K J ROSS & ASSOCIATES PTY LTD,K J ROSS & ASSOCIATES PTY LTD,,
Others,Kapish Services Pty Ltd,Kapish Services Pty Ltd,,
Others,Logi-tech Pty Ltd,Logi-tech Pty Ltd,,
Others,Mac Centre Pty Ltd,Mac Centre Pty Ltd,,
Others,NEWGEN SYSTEMS PTY LTD,NEWGEN SYSTEMS PTY LTD,,
Others,PATH INFOTECH PTY LTD,PATH INFOTECH PTY LTD,,
Others,Prescience Technology Pty Limited,Prescience Technology Pty Limited,,
Others,Protectera Pty Ltd,Protectera Pty Ltd,,
Others,Reseau Pty Ltd,Reseau Pty Ltd,,
Others,Southern Cyber Pty Ltd,Southern Cyber Pty Ltd,,
Others,Trustee for the P & R Williamson Family Trust ( trading as Insync Solutions Pty Ltd),Trustee for the P & R Williamson Family Trust ( trading as Insync Solutions Pty Ltd),,
Others,WyldLynx Pty Ltd,WyldLynx Pty Ltd,,
Others,Xavier College Ltd,Xavier College Ltd,,
Others,Equate Technologies Pty Ltd,Equate Technologies Pty Ltd,,
Others,FYB Pty Ltd,FYB Pty Ltd,,
Others,TL Consulting Group NSW Pty Ltd,TL Consulting Group NSW Pty Ltd,,
Others,Dept Digital Products Holdings Pty Ltd,Dept Digital Products Holdings Pty Ltd,,
Others,INFOREMOST PTY LTD,INFOREMOST PTY LTD,,
Others,INFOXCHANGE,INFOXCHANGE,,
Others,TechConnect IT Solutions Pty Ltd,TechConnect IT Solutions Pty Ltd,,
Others,The Frame Group Pty Limited,The Frame Group Pty Limited,,
Others,The Trustee for COMUNET UNIT TRUST,The Trustee for COMUNET UNIT TRUST,,
Others,The Trustee for Secolve20 Unit Trust - T/as  Secolve Pty Ltd,The Trustee for Secolve20 Unit Trust - T/as  Secolve Pty Ltd,,
Others,Theta Systems Limited,Theta Systems Limited,,
Others,INTECH SOFTWARE PTY LTD,INTECH SOFTWARE PTY LTD,,
Others,CSO GROUP PTY LTD,CSO GROUP PTY LTD,,
Others,Department of Primary Industries and Regions,Department of Primary Industries and Regions,,
Others,Magenta Technologies Pty Ltd,Magenta Technologies Pty Ltd,,
Others,SystemCraft Pty. Ltd,SystemCraft Pty. Ltd,,
Others,Capitec Investment 3 Pty Ltd -T/A LaserFast,Capitec Investment 3 Pty Ltd -T/A LaserFast,,
Others,COUNTERPART SOLUTIONS PTY. LTD.,COUNTERPART SOLUTIONS PTY. LTD.,,
Others,Cyber Risk Pty Ltd,Cyber Risk Pty Ltd,,
Others,Dialog Pty Ltd,Dialog Pty Ltd,,
Others,Fujitsu Australia Limited (NSW),Fujitsu Australia Limited (NSW),,
Others,Intraware Australia Pty Ltd,Intraware Australia Pty Ltd,,
Others,IT Today (Aust) Pty Ltd,IT Today (Aust) Pty Ltd,,
Others,Magia Solutions Pty Ltd,Magia Solutions Pty Ltd,,
Others,Nuago Pty Ltd,Nuago Pty Ltd,,
Others,WIPRO REVOLUTION IT PTY LTD,WIPRO REVOLUTION IT PTY LTD,,
Others,Zero Vector Pty Ltd,Zero Vector Pty Ltd,,
Others,AccessHQ,AccessHQ,,
Others,CYTHERA PTY LTD,CYTHERA PTY LTD,,
Others,ENVISAGE TECHNOLOGY (QLD) PTY LTD,ENVISAGE TECHNOLOGY (QLD) PTY LTD,,
Others,HYPER SCALERS PTY. LTD.,HYPER SCALERS PTY. LTD.,,
Others,Iocane Pty Ltd,Iocane Pty Ltd,,
Others,Proficiency Group Pty Ltd (T/as Information Proficiency),Proficiency Group Pty Ltd (T/as Information Proficiency),,
Others,RIOT SOLUTIONS PTY LTD,RIOT SOLUTIONS PTY LTD,,
Others,RPM Solutions Pty Ltd,RPM Solutions Pty Ltd,,
Others,Technicalities Group Consulting Pty Ltd,Technicalities Group Consulting Pty Ltd,,
Others,The Trustee for ENDPOINT FOCUS Trust,The Trustee for ENDPOINT FOCUS Trust,,
Others,BPM Vision Pty Ltd,BPM Vision Pty Ltd,,
Others,DATA INTENSITY PTY LIMITED,DATA INTENSITY PTY LIMITED,,
Others,Genisys Group Pty Ltd,Genisys Group Pty Ltd,,
Others,Informotion Pty Ltd,Informotion Pty Ltd,,
Others,ISG Enterprise Solutions,ISG Enterprise Solutions,,
Others,STRATEGIC INFORMATION TECHNOLOGIES PTY LIMITED,STRATEGIC INFORMATION TECHNOLOGIES PTY LIMITED,,
Others,The Trustee for the JDS Solutions Unit Trust (T/As JDS AUSTRALIA PTY LTD),The Trustee for the JDS Solutions Unit Trust (T/As JDS AUSTRALIA PTY LTD),,
Others,The Trustee for WILAPPS UNIT TRUST (Trading as Interscale),The Trustee for WILAPPS UNIT TRUST (Trading as Interscale),,
Others,Vectra Corporation Ltd,Vectra Corporation Ltd,,
Others,CIRRUS NETWORKS (WA) PTY LTD,CIRRUS NETWORKS (WA) PTY LTD,,
Others,First Focus IT Pty Ltd,First Focus IT Pty Ltd,,
Others,IP Trading Pty Ltd,IP Trading Pty Ltd,,
Others,IT Logic Pty Ltd,IT Logic Pty Ltd,,
Others,Solista Pty Ltd,Solista Pty Ltd,,
Others,Storm FX Distributions Pty Ltd,Storm FX Distributions Pty Ltd,,
Others,CALROSSY ANGLICAN SCHOOL,CALROSSY ANGLICAN SCHOOL,,
Others,Idea Science Pty Ltd,Idea Science Pty Ltd,,
Others,Blue Crystal Solutions Pty Ltd,Blue Crystal Solutions Pty Ltd,,
Others,CEVO (NSW) PTY LTD,CEVO (NSW) PTY LTD,,
Others,NGE CONSULTING PTY LTD - t/as Clevvi Technology,NGE CONSULTING PTY LTD - t/as Clevvi Technology,,
Others,Origin Digital Consultants Pty Ltd,Origin Digital Consultants Pty Ltd,,
Others,Pebble I.T. Solutions Pty Ltd,Pebble I.T. Solutions Pty Ltd,,
Others,Quadiq Pty Ltd - (T/A Slipstream Cyber),Quadiq Pty Ltd - (T/A Slipstream Cyber),,
Others,Relational Data Systems Pty Ltd,Relational Data Systems Pty Ltd,,
Others,STRATEGENICS PTY LTD,STRATEGENICS PTY LTD,,
Others,Tracer Technology Pty Ltd,Tracer Technology Pty Ltd,,
Others,INTALOCK (SPIRIT) CYBER SECURITY PTY LTD,INTALOCK (SPIRIT) CYBER SECURITY PTY LTD,,
Others,Planit Test Management Solutions Pty Ltd,Planit Test Management Solutions Pty Ltd,,
Others,Edge IX Pty Ltd,Edge IX Pty Ltd,,
Others,Lumen IT Pty Ltd,Lumen IT Pty Ltd,,
Others,Servers Australia Pty Ltd,Servers Australia Pty Ltd,,
Others,THE BOSS GROUP PTY. LTD. t/a MICROBOSS,THE BOSS GROUP PTY. LTD. t/a MICROBOSS,,
Others,CBR CYBER PTY LTD,CBR CYBER PTY LTD,,
Others,Force IT Pty Ltd,Force IT Pty Ltd,,
Others,MARIAN COLLEGE,MARIAN COLLEGE,,
Others,Restack Technology Pty Ltd,Restack Technology Pty Ltd,,
Others,The University of Adelaide,The University of Adelaide,,
Others,ESCAPE NET PTY LTD,ESCAPE NET PTY LTD,,
Others,Vektren Pty Ltd,Vektren Pty Ltd,,
Others,Amidata Ltd,Amidata Ltd,,
Others,ATLASTIX PTY LTD,ATLASTIX PTY LTD,,
Others,Comlinx Pty Ltd,Comlinx Pty Ltd,,
Others,Spectrum IT Pty Ltd T/A Strong Solutions,Spectrum IT Pty Ltd T/A Strong Solutions,,
Others,Federal Court of Australia,Federal Court of Australia,,
Others,Intrepid Solutions Australia Pty Ltd,Intrepid Solutions Australia Pty Ltd,,
Others,AKURIT PTY LTD,AKURIT PTY LTD,,
Others,DIGIWORLD AUST PTY LTD T/as Southern Cross Computer Systems,DIGIWORLD AUST PTY LTD T/as Southern Cross Computer Systems,,
Others,Invictus Partners Pty Ltd,Invictus Partners Pty Ltd,,
Others,5G Network Operations Pty Ltd,5G Network Operations Pty Ltd,,
Others,Acer Computer Australia Pty Ltd,Acer Computer Australia Pty Ltd,,
Others,AXIOM TECHNOLOGIES PTY LTD,AXIOM TECHNOLOGIES PTY LTD,,
Others,Kytec Pty Ltd,Kytec Pty Ltd,,
Others,OnCall DBA Pty Ltd,OnCall DBA Pty Ltd,,
Others,PRESCIENT SOLUTIONS PTY LTD,PRESCIENT SOLUTIONS PTY LTD,,
Others,Westpac Banking Corporation,Westpac Banking Corporation,,
Others,WIPRO SHELDE AUSTRALIA PTY LTD,WIPRO SHELDE AUSTRALIA PTY LTD,,
Others,WS TECH PTY LIMITED,WS TECH PTY LIMITED,,
Others,KPMG Australia Technology Solutions Pty Limited,KPMG Australia Technology Solutions Pty Limited,,
Others,SDS Group Pty Ltd,SDS Group Pty Ltd,,
Others,SecureWare Pty Ltd,SecureWare Pty Ltd,,
Others,ADITS Pty Ltd,ADITS Pty Ltd,,
Others,DATABL PTY LTD,DATABL PTY LTD,,
Others,COGNISS PTY LTD,COGNISS PTY LTD,,
Others,Envision I.T. Pty Ltd,Envision I.T. Pty Ltd,,
Others,BILUE PTY LTD,BILUE PTY LTD,,
Others,Digital Sense Hosting Pty Ltd,Digital Sense Hosting Pty Ltd,,
Others,Diocese of Lismore Catholic Schools Limited,Diocese of Lismore Catholic Schools Limited,,
Others,Levit8 Pty Ltd,Levit8 Pty Ltd,,
Others,QUEENWOOD SCHOOL FOR GIRLS,QUEENWOOD SCHOOL FOR GIRLS,,
Others,SHI International Corp Australia Pty. Ltd.,SHI International Corp Australia Pty. Ltd.,,
Others,iCognition Pty Limited,iCognition Pty Limited,,
Others,Katana1 Pty Ltd,Katana1 Pty Ltd,,
Others,The trustee for The Schloman B1 Trust (T/as MIKTYSH),The trustee for The Schloman B1 Trust (T/as MIKTYSH),,
Others,3rdmill Pty Ltd,3rdmill Pty Ltd,,
Others,BRACE168 PTY LTD,BRACE168 PTY LTD,,
Others,Cloud Burst Software Pty Ltd,Cloud Burst Software Pty Ltd,,
Others,CUBE CYBERSECURITY PTY LTD,CUBE CYBERSECURITY PTY LTD,,
Others,IT Junction Pty Limited,IT Junction Pty Limited,,
Others,Virtual Information Technology Pty Ltd,Virtual Information Technology Pty Ltd,,
Others,ADACTIN GROUP PTY LTD,ADACTIN GROUP PTY LTD,,
Others,IQ3 PTY LTD,IQ3 PTY LTD,,
Others,MICON IT SOLUTIONS,MICON IT SOLUTIONS,,
Others,Andersen IT Pty Ltd,Andersen IT Pty Ltd,,
Others,"Department of Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water",,
Others,Department of Transport and Main Roads (Queensland Transport),Department of Transport and Main Roads (Queensland Transport),,
Others,FORENSIC IT SOLUTIONS PTY LTD,FORENSIC IT SOLUTIONS PTY LTD,,
Others,Inphysec Security Limited,Inphysec Security Limited,,
Others,LEIDOS AUSTRALIA PTY LIMITED,LEIDOS AUSTRALIA PTY LIMITED,,
Others,Enablis Pty Ltd,Enablis Pty Ltd,,
Others,Fuse Technology Pty Ltd,Fuse Technology Pty Ltd,,
Others,PSQ Group - (XERCES IT PTY LTD),PSQ Group - (XERCES IT PTY LTD),,
Others,ESN Group Pty Ltd,ESN Group Pty Ltd,,
Others,LAMPREY TECHNOLOGIES PTY LTD (T/A CompagoTechnologies),LAMPREY TECHNOLOGIES PTY LTD (T/A CompagoTechnologies),,
Others,Pure Security Pty Ltd,Pure Security Pty Ltd,,
Others,STACK ADVISORY PTY LTD,STACK ADVISORY PTY LTD,,
Others,Anticlockwise Pty Ltd,Anticlockwise Pty Ltd,,
Others,SOVEREIGN CLOUD AUSTRALIA PTY LTD (t/a) AUCloud Technologies,SOVEREIGN CLOUD AUSTRALIA PTY LTD (t/a) AUCloud Technologies,,
Others,Tech Data Advanced Solutions (ANZ) Limited,Tech Data Advanced Solutions (ANZ) Limited,,
Others,Meridian IT Pty Ltd,Meridian IT Pty Ltd,,
Others,Digital Peripherals Pty. Ltd,Digital Peripherals Pty. Ltd,,
Others,Strategic Business Consulting Pty Ltd,Strategic Business Consulting Pty Ltd,,
Others,DQA PTY LTD,DQA PTY LTD,,
Others,EXPERIENCE DIGITAL PTY LTD,EXPERIENCE DIGITAL PTY LTD,,
Others,Tata Consultancy Services Limited,Tata Consultancy Services Limited,,
Others,IT Connexion Pty Ltd,IT Connexion Pty Ltd,,
Others,SACRED HEART COLLEGE (SA),SACRED HEART COLLEGE (SA),,
Others,Daramalan College,Daramalan College,,
Others,SecurITon Pty Ltd,SecurITon Pty Ltd,,
Others,South Australian Housing Trust (T/as SA Housing Authority),South Australian Housing Trust (T/as SA Housing Authority),,
Others,HAMILTON SECONDARY COLLEGE,HAMILTON SECONDARY COLLEGE,,
Others,NETREGISTRY PTY LTD - (WebCentral),NETREGISTRY PTY LTD - (WebCentral),,
Others,ERICOM PTY. LIMITED,ERICOM PTY. LIMITED,,
Others,Gulanga Group Pty Ltd,Gulanga Group Pty Ltd,,
Others,DIGITAL ARMOUR CORPORATION PTY LTD,DIGITAL ARMOUR CORPORATION PTY LTD,,
Others,Transaction Solutions Limited - T/as Experteq,Transaction Solutions Limited - T/as Experteq,,
Others,AQUINAS COLLEGE (QLD),AQUINAS COLLEGE (QLD),,
Others,Royal Melbourne Institute of Technology (Partner),Royal Melbourne Institute of Technology (Partner),,
Others,Stickman Consulting Pty Ltd,Stickman Consulting Pty Ltd,,
Others,Our Lady of Mercy College,Our Lady of Mercy College,,
Others,Redlands College,Redlands College,,
Others,Sliced Tech Pty Ltd,Sliced Tech Pty Ltd,,
Others,Microsearch Consulting Pty Ltd,Microsearch Consulting Pty Ltd,,
Others,Symbio Networks Pty Ltd,Symbio Networks Pty Ltd,,
Others,TAHITI NUI TELECOM,TAHITI NUI TELECOM,,
Others,Telco ICT Group,Telco ICT Group,,
Others,TECHNICALITIES BRANCH 11 PTY LTD t/a APE IT,TECHNICALITIES BRANCH 11 PTY LTD t/a APE IT,,
Others,Scarlet Solutions Pty Ltd,Scarlet Solutions Pty Ltd,,
Others,Emantra Pty Ltd,Emantra Pty Ltd,,
Others,Queensland Police Service,Queensland Police Service,,
Others,6PILLARS CLOUD AUTOMATION PTY LTD,6PILLARS CLOUD AUTOMATION PTY LTD,,
Others,Fusion5 Pty Ltd,Fusion5 Pty Ltd,,
Others,ONLINE IT PTY LTD,ONLINE IT PTY LTD,,
Others,TECHTEGRITY PTY LTD,TECHTEGRITY PTY LTD,,
Others,AGL Energy Limited,AGL Energy Limited,,
Others,Syconic Cyber Pty Ltd,Syconic Cyber Pty Ltd,,
Others,X Integration Pty Ltd,X Integration Pty Ltd,,
Others,Consortium Group Pty Ltd,Consortium Group Pty Ltd,,
Others,SUNNYBANK STATE HIGH SCHOOL,SUNNYBANK STATE HIGH SCHOOL,,
Others,The Trustee for Revelation Software Concepts,The Trustee for Revelation Software Concepts,,
Others,Australian Trade Commission,Australian Trade Commission,,
Others,SALTT TECHNOLOGIES PTY LTD,SALTT TECHNOLOGIES PTY LTD,,
Others,Schneider Electric (Australia) Pty Ltd,Schneider Electric (Australia) Pty Ltd,,
Others,D8 App Development Pty Ltd,D8 App Development Pty Ltd,,
Others,ITSEC AUSTRALIA PTY LTD,ITSEC AUSTRALIA PTY LTD,,
Others,Queensland Health,Queensland Health,,
Others,DONFAM INVESTMENTS PTY LTD (trading as SAU DIGITAL AUSTRALIA),DONFAM INVESTMENTS PTY LTD (trading as SAU DIGITAL AUSTRALIA),,
Others,Codice Pty Ltd,Codice Pty Ltd,,
Others,IdentityXP Pty Ltd,IdentityXP Pty Ltd,,
Others,KLOUD TECH PTY. LTD.,KLOUD TECH PTY. LTD.,,
Others,Silverfern Computers Pty Ltd,Silverfern Computers Pty Ltd,,
Others,Data Engines Pty Ltd,Data Engines Pty Ltd,,
Others,KONVERGE AUSTRALIA PTY LTD,KONVERGE AUSTRALIA PTY LTD,,
Others,System Squared Pty Ltd,System Squared Pty Ltd,,
Others,IBM Australia Limited,IBM Australia Limited,,
Others,Imex Solutions WA Pty Ltd,Imex Solutions WA Pty Ltd,,
Others,PROVEHO NETWORKS,PROVEHO NETWORKS,,
Others,SIXFOLD PTY LTD,SIXFOLD PTY LTD,,
Others,UCIT Pty Limited,UCIT Pty Limited,,
Others,Inkline IT Pty Ltd,Inkline IT Pty Ltd,,
Others,MIBARU PTY LTD,MIBARU PTY LTD,,
Others,NETWAY NETWORKS PTY LTD,NETWAY NETWORKS PTY LTD,,
Others,SECNET PTY LTD,SECNET PTY LTD,,
Others,WORKING TECHNOLOGY PTY LTD,WORKING TECHNOLOGY PTY LTD,,
Others,Unisys Australia Pty Limited,Unisys Australia Pty Limited,,
Others,Holmesglen Institute,Holmesglen Institute,,
Others,Coöperatieve Rabobank U.A,Coöperatieve Rabobank U.A,,
Others,FORTYTWO24 PTY LTD,FORTYTWO24 PTY LTD,,
Others,"Infosys Technologies Limited, IL Melbourne","Infosys Technologies Limited, IL Melbourne",,
Others,TAZTECH PTY LTD  - (DO NOT USE)  see a/c # 211418,TAZTECH PTY LTD  - (DO NOT USE)  see a/c # 211418,,
Others,Computer Systems (Australia) Pty. Limited,Computer Systems (Australia) Pty. Limited,,
Others,ZETTA PTY LTD,ZETTA PTY LTD,,
Others,Noveix Systems Pty Limited,Noveix Systems Pty Limited,,
Others,XCELIT PTY LTD,XCELIT PTY LTD,,
Others,22fourteen Pty Ltd for J & A Haynes and Associates Family Trust trading as 22fourteen,22fourteen Pty Ltd for J & A Haynes and Associates Family Trust trading as 22fourteen,,
Others,ICT AIMS PTY. LTD,ICT AIMS PTY. LTD,,
Others,PHILLIPS IT PTY LIMITED,PHILLIPS IT PTY LIMITED,,
Others,The trustee for Committo Unit Trust,The trustee for Committo Unit Trust,,
Others,ASX Operations Pty Ltd,ASX Operations Pty Ltd,,
Others,City of Mandurah,City of Mandurah,,
Others,Commonwealth Superannuation Corporation (CSC),Commonwealth Superannuation Corporation (CSC),,
Others,Department of Justice (State Solicitor's Office ) WA,Department of Justice (State Solicitor's Office ) WA,,
Others,MERLIN BUSINESS SOLUTIONS PTY. LTD.,MERLIN BUSINESS SOLUTIONS PTY. LTD.,,
Others,The Trustee For The Teba Unit Trust - T/as Teba,The Trustee For The Teba Unit Trust - T/as Teba,,
Others,Worksafe Victoria,Worksafe Victoria,,
Others,Fire and Rescue New South Wales,Fire and Rescue New South Wales,,
Others,NDEVR Pty Ltd,NDEVR Pty Ltd,,
Others,PARISH CREST PTY LTD,PARISH CREST PTY LTD,,
Others,FUJIFILM MICROCHANNEL SERVICES PTY LTD,FUJIFILM MICROCHANNEL SERVICES PTY LTD,,
Others,MOQ Digital Pty Ltd,MOQ Digital Pty Ltd,,
Others,Stuart Arcus T/A S.P.A. Technology,Stuart Arcus T/A S.P.A. Technology,,
Others,Mount Gravatt State High School,Mount Gravatt State High School,,
Others,Edith Cowan University,Edith Cowan University,,
Others,Aurora Technologies Pty Ltd,Aurora Technologies Pty Ltd,,
Others,Gridware CyberSecurity Pty Ltd,Gridware CyberSecurity Pty Ltd,,
Others,STOIC IT PTY LTD,STOIC IT PTY LTD,,
Others,DotSec Pty Ltd,DotSec Pty Ltd,,
Others,Assertiv Pty Ltd,Assertiv Pty Ltd,,
Others,Murdoch University,Murdoch University,,
Others,Pentanet Limited,Pentanet Limited,,
Others,The Bawn Group Pty Ltd,The Bawn Group Pty Ltd,,
Others,The trustee for DSAJA Discretionary Trust - T/as Techcellence,The trustee for DSAJA Discretionary Trust - T/as Techcellence,,
Others,Australian Nuclear Science and Technology Organisation (ANSTO),Australian Nuclear Science and Technology Organisation (ANSTO),,
Others,Avondale University,Avondale University,,
Others,Batchelor Institute of Indigenous Tertiary Education,Batchelor Institute of Indigenous Tertiary Education,,
Others,Charles Darwin University,Charles Darwin University,,
Others,Charles Sturt University,Charles Sturt University,,
Others,Deakin University,Deakin University,,
Others,Flinders University,Flinders University,,
Others,Macquarie University,Macquarie University,,
Others,Monash University,Monash University,,
Others,Queensland University of Technology,Queensland University of Technology,,
Others,Southern Cross University (Coffs Harbour Campus),Southern Cross University (Coffs Harbour Campus),,
Others,THE UNIVERSITY OF NEWCASTLE,THE UNIVERSITY OF NEWCASTLE,,
Others,The University of Queensland,The University of Queensland,,
Others,The University of Western Australia,The University of Western Australia,,
Others,The University of Wollongong,The University of Wollongong,,
Others,University of Tasmania,University of Tasmania,,
Others,University of Technology Sydney,University of Technology Sydney,,
Others,Western Sydney University,Western Sydney University,,
Others,BLUBIZ SOLUTIONS PTY LTD,BLUBIZ SOLUTIONS PTY LTD,,
Others,Department of Water and Environmental Regulation,Department of Water and Environmental Regulation,,
Others,Architech Network & Communications Solutions Pty Ltd,Architech Network & Communications Solutions Pty Ltd,,
Others,Capgemini Australia Pty Ltd,Capgemini Australia Pty Ltd,,
Others,CITEC,CITEC,,
Others,CYBERNET SECURITY PTY LTD,CYBERNET SECURITY PTY LTD,,
Others,Pegasus Technology Pty Ltd,Pegasus Technology Pty Ltd,,
Others,The Trustee for cue IT Business Trust,The Trustee for cue IT Business Trust,,
Others,University of New South Wales,University of New South Wales,,
Others,University of South Australia,University of South Australia,,
Others,SELECT SOFTWARE SOLUTIONS PTY LIMITED,SELECT SOFTWARE SOLUTIONS PTY LIMITED,,
Others,UmlautIT Pty Ltd,UmlautIT Pty Ltd,,
Others,CONVERGINT AUSTRALIA PTY LTD,CONVERGINT AUSTRALIA PTY LTD,,
Others,Ionize Pty Ltd,Ionize Pty Ltd,,
Others,PinnacleQM Pty Ltd,PinnacleQM Pty Ltd,,
Others,Ikara Group Pty Ltd,Ikara Group Pty Ltd,,
Others,Internet Association of Australia Ltd,Internet Association of Australia Ltd,,
Others,IT Management Associates,IT Management Associates,,
Others,SURECITY NETWORKS PTY LTD,SURECITY NETWORKS PTY LTD,,
Others,Metropolitan Computers & Supplies,Metropolitan Computers & Supplies,,
Others,ITANZ GROUP PTY LTD,ITANZ GROUP PTY LTD,,
Others,1375 PTY LTD,1375 PTY LTD,,
Others,Eserve Consulting Pty Ltd,Eserve Consulting Pty Ltd,,
Others,Fermi Systems Pty. Ltd.,Fermi Systems Pty. Ltd.,,
Others,Absolute IT Solutions Pty Ltd As Trustee for Hurst Family Trust,Absolute IT Solutions Pty Ltd As Trustee for Hurst Family Trust,,
